,Answer,inn_act,novelty,inn_prod,size,climate,age,competition,technologe_acq,RD,market,novelty_tech,marketing_inn,organizational_inn,main_ag,Int_property,boss_experience,papers,wifi,MBA,passport,mortgage,green,Type
16,0,0.0,0.0,0.0,6.0,9.0,49.0,4,0,0.0,1,0.0,0.0,0,1.0,1,0,0,0,0,40.3,18.8,2,4
17,1,0.0,0.0,0.0,5.0,2.0,59.0,3,1,0.54,2,0.0,1.0,1,1.0,0,0,0,0,0,40.7,11.4,1,2
18,1,1.0,0.26,0.45,3.0,9.0,71.0,3,1,0.33,1,21.81,1.0,0,1.0,1,1,0,1,0,25.0,13.8,2,1
19,1,1.0,0.2,0.69,3.0,3.0,37.0,2,1,0.48,2,0.52,1.0,1,1.0,0,1,103,0,0,10.4,13.0,2,1
20,0,1.0,0.12,0.37,2.0,3.0,50.0,5,1,0.08,1,51.13,1.0,1,1.0,0,1,60,0,0,57.8,4.2,1,3
21,1,0.0,0.0,0.0,6.0,4.0,38.0,2,0,0.39,1,0.0,0.0,1,1.0,1,0,0,0,0,20.2,11.5,1,2
22,0,0.0,0.0,0.0,8.0,1.0,59.0,4,0,0.18,2,0.0,0.0,0,1.0,1,0,0,0,0,67.9,16.0,2,4
23,0,1.0,0.08,0.64,7.0,1.0,55.0,2,0,0.48,2,0.79,0.0,0,1.0,0,1,0,0,0,44.9,16.5,2,3
24,1,1.0,0.05,0.37,6.0,6.0,70.0,3,1,0.17,4,56.75,1.0,1,1.0,1,1,35,1,0,32.1,5.3,1,1
25,0,0.0,0.0,0.0,6.0,5.0,69.0,1,0,0.22,1,0.0,0.0,1,1.0,0,0,120,0,0,56.2,6.7,2,4
26,1,1.0,0.1,0.7,8.0,6.0,51.0,3,0,0.41,4,32.98,0.0,0,2.0,0,1,116,0,0,12.9,2.3,2,1
27,0,1.0,0.06,0.72,5.0,6.0,26.0,5,0,0.47,2,19.55,1.0,1,1.0,0,1,85,0,0,41.6,1.8,1,3
28,0,0.0,0.0,0.0,5.0,1.0,51.0,1,0,0.26,2,0.0,0.0,1,1.0,0,0,0,0,0,51.4,12.4,1,4
29,1,1.0,0.44,0.15,2.0,9.0,32.0,2,1,0.04,1,28.02,1.0,0,1.0,1,1,0,0,0,30.7,6.1,1,1
30,0,0.0,0.0,0.0,2.0,4.0,32.0,1,0,0.16,2,0.0,1.0,0,1.0,0,0,0,0,0,46.2,5.5,1,4
31,0,1.0,0.06,0.65,6.0,1.0,70.0,2,0,0.34,1,5.62,1.0,0,1.0,0,1,0,0,0,64.8,11.3,1,3
32,1,1.0,0.35,0.33,3.0,7.0,48.0,3,1,0.04,1,2.81,0.0,1,1.0,0,1,0,1,0,16.4,15.8,2,1
33,0,0.0,0.0,0.0,5.0,2.0,52.0,4,0,0.13,2,0.0,0.0,0,1.0,0,0,67,0,0,48.4,2.3,1,4
34,0,0.0,0.0,0.0,6.0,0.0,52.0,5,0,0.23,1,0.0,0.0,1,1.0,1,0,0,1,0,48.8,17.5,1,4
35,1,1.0,0.16,0.14,3.0,10.0,47.0,4,0,0.44,2,56.1,1.0,1,1.0,1,1,115,1,0,5.5,5.2,2,1
36,1,0.0,0.0,0.0,3.0,4.0,39.0,2,0,0.51,2,0.0,1.0,0,1.0,0,0,0,0,0,12.2,9.4,1,2
37,0,0.0,0.0,0.0,4.0,7.0,71.0,4,0,0.0,1,0.0,0.0,0,1.0,1,0,41,0,0,60.6,3.2,1,4
38,1,0.0,0.0,0.0,1.0,5.0,26.0,3,0,0.61,2,0.0,1.0,0,1.0,1,0,0,0,0,27.7,11.7,1,2
39,0,1.0,0.04,0.23,6.0,9.0,52.0,5,0,0.33,1,15.22,0.0,1,1.0,0,1,0,0,0,62.1,0.9,1,3
40,1,0.0,0.0,0.0,5.0,5.0,23.0,4,1,0.66,1,0.0,1.0,0,1.0,0,0,120,1,0,28.4,13.1,1,2
41,0,1.0,0.08,0.5,7.0,5.0,57.0,2,0,0.24,1,62.67,1.0,0,1.0,0,1,41,1,0,60.6,3.8,1,3
42,1,1.0,0.21,0.2,3.0,6.0,32.0,3,0,0.35,1,19.75,0.0,0,5.0,0,1,0,1,0,9.0,17.1,4,1
43,1,0.0,0.0,0.0,7.0,2.0,55.0,3,0,0.64,1,0.0,0.0,0,1.0,0,0,0,0,0,20.1,6.6,2,2
44,0,0.0,0.0,0.0,2.0,3.0,67.0,5,0,0.0,2,0.0,0.0,0,1.0,1,0,108,0,0,31.6,0.3,1,4
45,1,1.0,0.38,0.89,3.0,7.0,32.0,2,0,0.5,1,74.2,1.0,1,1.0,1,1,16,1,0,11.2,14.0,2,1
46,1,0.0,0.0,0.0,2.0,7.0,40.0,4,0,0.07,2,0.0,1.0,0,1.0,1,0,30,0,0,7.7,4.0,1,2
47,0,0.0,0.0,0.0,5.0,7.0,24.0,3,0,0.0,2,0.0,0.0,0,1.0,1,0,0,0,0,70.3,7.4,1,4
48,0,0.0,0.0,0.0,2.0,2.0,23.0,4,0,0.0,1,0.0,0.0,0,1.0,0,0,0,0,0,70.0,17.6,1,4
49,1,1.0,0.29,0.54,3.0,6.0,27.0,4,0,0.33,1,29.92,1.0,1,1.0,1,1,45,0,0,34.6,5.8,1,1
50,0,0.0,0.0,0.0,4.0,2.0,71.0,4,1,0.46,1,0.0,1.0,0,1.0,0,0,0,0,0,67.8,8.0,1,4
51,0,0.0,0.0,0.0,4.0,3.0,67.0,5,0,0.38,2,0.0,0.0,0,1.0,1,0,85,0,0,52.8,2.2,1,4
52,1,1.0,0.45,0.35,1.0,7.0,43.0,2,1,0.48,2,4.79,1.0,1,1.0,1,1,0,0,0,20.0,8.3,1,1
53,0,1.0,0.14,0.04,2.0,10.0,47.0,1,0,0.2,1,8.54,0.0,1,1.0,0,1,88,0,0,27.0,15.7,2,3
54,0,0.0,0.0,0.0,3.0,2.0,24.0,1,0,0.14,1,0.0,0.0,0,1.0,1,0,74,1,0,66.8,13.6,1,4
55,1,1.0,0.22,0.69,4.0,10.0,52.0,4,1,0.04,3,61.44,0.0,1,3.0,0,1,119,0,0,9.6,13.0,4,1
56,0,1.0,0.02,0.17,4.0,1.0,71.0,2,0,0.19,2,15.02,0.0,0,1.0,1,1,0,0,0,42.8,14.1,1,3
57,0,0.0,0.0,0.0,7.0,9.0,59.0,2,0,0.28,1,0.0,0.0,0,1.0,0,0,72,0,0,51.0,17.1,1,4
58,0,1.0,0.06,0.31,7.0,1.0,64.0,2,0,0.64,1,16.86,0.0,0,1.0,0,1,49,0,0,65.1,3.4,2,3
59,1,0.0,0.0,0.0,8.0,6.0,57.0,1,1,0.14,2,0.0,1.0,0,1.0,0,0,92,0,0,15.3,7.9,2,2
60,0,0.0,0.0,0.0,5.0,3.0,23.0,4,1,0.0,1,0.0,0.0,1,1.0,1,0,57,1,0,28.6,0.6,1,4
61,0,0.0,0.0,0.0,4.0,7.0,61.0,4,0,0.0,1,0.0,0.0,0,1.0,1,0,0,0,0,80.6,5.0,2,4
62,0,0.0,0.0,0.0,2.0,10.0,49.0,3,1,0.0,1,0.0,0.0,0,1.0,0,0,0,0,0,40.5,7.6,2,4
63,0,0.0,0.0,0.0,2.0,1.0,34.0,4,0,0.0,2,0.0,1.0,0,1.0,0,0,0,0,0,51.9,3.2,2,4
64,0,1.0,0.03,0.11,3.0,4.0,62.0,5,0,0.22,1,3.13,1.0,0,1.0,0,1,45,0,1,73.2,2.6,1,3
65,0,1.0,0.14,0.74,6.0,1.0,63.0,1,0,0.24,1,8.71,0.0,0,1.0,0,1,24,0,0,55.5,4.7,2,3
66,0,0.0,0.0,0.0,9.0,1.0,23.0,2,0,0.0,1,0.0,0.0,0,1.0,0,0,95,0,1,47.3,3.3,1,4
67,0,1.0,0.19,0.09,1.0,8.0,62.0,5,0,0.52,1,19.73,0.0,0,1.0,0,1,77,0,1,74.8,15.1,1,3
68,0,1.0,0.14,0.76,7.0,2.0,68.0,5,0,0.27,2,19.67,0.0,1,1.0,1,1,0,0,0,50.4,10.3,2,3
69,1,1.0,0.09,0.55,6.0,1.0,38.0,4,1,0.18,4,27.93,0.0,1,2.0,1,1,112,1,0,29.8,15.0,1,1
70,1,1.0,0.08,0.82,8.0,6.0,59.0,4,1,0.63,1,20.13,0.0,0,1.0,0,1,36,0,0,43.7,8.9,1,1
71,1,1.0,0.29,0.3,3.0,6.0,56.0,1,0,0.51,2,0.13,1.0,0,1.0,1,1,0,0,0,23.9,5.1,1,1
72,1,1.0,0.55,0.89,3.0,7.0,52.0,2,1,0.65,1,46.47,1.0,0,1.0,0,1,0,0,0,6.7,8.3,1,1
73,0,0.0,0.0,0.0,5.0,0.0,63.0,1,0,0.0,2,0.0,0.0,0,1.0,1,0,0,0,0,50.5,1.1,1,4
74,1,1.0,0.08,0.59,6.0,6.0,53.0,3,0,0.47,4,62.38,1.0,0,1.0,1,1,0,0,0,22.4,12.6,1,1
75,1,1.0,0.15,0.11,1.0,3.0,49.0,2,0,0.33,1,41.7,1.0,1,2.0,1,1,0,0,0,23.3,14.3,2,1
76,1,1.0,0.48,0.12,1.0,8.0,48.0,3,1,0.54,1,17.34,0.0,1,1.0,1,1,125,0,0,10.6,6.0,2,1
77,0,0.0,0.0,0.0,3.0,9.0,34.0,5,0,0.2,2,0.0,0.0,0,1.0,1,0,0,0,0,26.9,13.3,1,4
78,0,1.0,0.03,0.4,6.0,4.0,23.0,2,0,0.14,2,52.53,0.0,1,1.0,0,1,113,0,1,76.9,0.4,1,3
79,0,1.0,0.07,0.4,1.0,1.0,40.0,5,0,0.24,2,27.21,0.0,1,1.0,0,1,0,0,0,61.3,3.7,1,3
80,1,1.0,0.53,0.11,3.0,4.0,26.0,4,1,0.22,1,52.12,0.0,0,4.0,1,1,3,0,0,18.6,9.9,5,1
81,0,1.0,0.13,0.25,2.0,4.0,25.0,1,0,0.39,2,33.73,0.0,0,1.0,0,1,123,0,0,39.4,12.3,1,3
82,0,0.0,0.0,0.0,6.0,2.0,31.0,5,0,0.23,2,0.0,0.0,0,1.0,0,0,0,1,0,46.8,3.4,1,4
83,1,0.0,0.0,0.0,8.0,3.0,53.0,2,0,0.38,2,0.0,0.0,0,1.0,0,0,22,0,0,31.6,12.4,2,2
84,0,1.0,0.12,0.79,9.0,4.0,65.0,2,0,0.3,1,26.03,0.0,1,1.0,0,1,82,0,0,23.1,6.6,1,3
85,0,0.0,0.0,0.0,5.0,5.0,24.0,2,0,0.17,2,0.0,0.0,0,1.0,1,0,118,0,0,52.7,15.2,1,4
86,1,0.0,0.0,0.0,5.0,3.0,43.0,3,1,0.28,1,0.0,0.0,0,1.0,1,0,78,0,0,13.3,14.3,1,2
87,1,0.0,0.0,0.0,9.0,1.0,42.0,3,1,0.49,1,0.0,1.0,1,1.0,0,0,0,0,0,10.0,17.8,2,2
88,1,1.0,0.27,0.1,2.0,9.0,29.0,4,1,0.28,1,51.66,0.0,0,2.0,1,1,0,0,0,24.2,8.1,3,1
89,1,1.0,0.09,0.56,6.0,5.0,37.0,2,1,0.16,2,0.58,1.0,0,3.0,1,1,49,0,0,19.5,9.9,3,1
90,0,1.0,0.16,0.71,3.0,4.0,38.0,2,0,0.12,2,19.0,1.0,0,1.0,0,1,0,0,1,66.8,2.2,2,3
91,0,0.0,0.0,0.0,7.0,2.0,66.0,3,0,0.06,1,0.0,0.0,1,1.0,0,0,125,0,0,68.9,13.9,2,4
92,1,0.0,0.0,0.0,6.0,2.0,65.0,2,1,0.16,1,0.0,0.0,1,1.0,1,0,0,0,0,37.6,5.3,1,2
93,0,1.0,0.02,0.64,7.0,10.0,61.0,2,0,0.18,2,58.84,1.0,0,1.0,0,1,2,0,0,34.0,3.8,2,3
94,0,1.0,0.06,0.77,8.0,6.0,52.0,5,0,0.15,1,9.73,1.0,0,1.0,0,1,61,0,0,54.5,7.5,1,3
95,1,0.0,0.0,0.0,7.0,10.0,65.0,1,0,0.63,1,0.0,1.0,0,1.0,1,0,0,0,1,13.8,16.7,2,2
96,0,0.0,0.0,0.0,2.0,4.0,50.0,5,0,0.43,1,0.0,0.0,0,1.0,1,0,0,0,0,34.9,13.6,1,4
97,1,1.0,0.04,0.75,6.0,10.0,26.0,2,1,0.23,3,14.49,0.0,0,1.0,1,1,0,0,0,17.6,0.0,1,1
98,0,0.0,0.0,0.0,9.0,3.0,69.0,3,0,0.0,2,0.0,1.0,0,1.0,0,0,0,0,1,54.5,12.8,1,4
99,1,1.0,0.08,0.77,9.0,5.0,42.0,2,1,0.2,1,0.45,1.0,1,3.0,1,1,0,0,0,15.1,5.8,3,1
100,0,0.0,0.0,0.0,6.0,10.0,59.0,2,0,0.09,2,0.0,0.0,0,1.0,1,0,0,0,0,30.5,8.6,1,4
101,1,1.0,0.45,0.2,2.0,10.0,26.0,3,1,0.6,1,2.31,1.0,1,1.0,0,1,0,1,0,8.3,15.4,1,1
102,0,0.0,0.0,0.0,1.0,0.0,40.0,4,0,0.0,2,0.0,1.0,0,1.0,0,0,0,0,0,42.5,8.7,1,4
103,0,1.0,0.08,0.25,1.0,1.0,60.0,3,0,0.64,1,0.23,1.0,0,1.0,0,1,0,0,0,56.4,2.4,1,3
104,0,0.0,0.0,0.0,8.0,9.0,57.0,5,0,0.12,2,0.0,0.0,0,1.0,0,0,71,0,0,67.2,17.7,2,4
105,0,0.0,0.0,0.0,4.0,7.0,55.0,5,0,0.25,1,0.0,0.0,1,1.0,0,0,0,0,0,31.4,11.3,2,4
106,0,0.0,0.0,0.0,8.0,3.0,59.0,2,0,0.12,1,0.0,0.0,0,1.0,1,0,12,1,0,38.8,16.5,1,4
107,1,1.0,0.46,0.44,1.0,3.0,65.0,2,1,0.63,2,32.83,1.0,0,3.0,0,1,74,0,0,24.4,1.5,3,1
108,0,1.0,0.08,0.4,9.0,1.0,25.0,5,0,0.37,1,0.63,0.0,0,1.0,0,1,0,0,0,56.6,0.2,1,3
109,1,1.0,0.32,0.54,1.0,7.0,31.0,2,1,0.62,2,23.65,1.0,0,4.0,0,1,0,0,0,24.5,14.2,2,1
110,0,0.0,0.0,0.0,4.0,3.0,50.0,4,0,0.16,2,0.0,0.0,0,1.0,1,0,33,1,0,32.8,13.4,1,4
111,0,1.0,0.01,0.78,6.0,4.0,52.0,2,0,0.31,1,37.74,1.0,0,1.0,0,1,128,0,0,48.2,2.3,2,3
112,0,0.0,0.0,0.0,8.0,2.0,47.0,4,0,0.0,2,0.0,1.0,0,1.0,0,0,121,1,0,31.7,17.8,1,4
113,0,1.0,0.12,0.37,3.0,5.0,25.0,5,0,0.06,1,11.58,0.0,1,1.0,0,1,11,1,0,75.3,6.7,1,3
114,1,1.0,0.06,0.52,6.0,10.0,35.0,2,0,0.28,1,57.69,1.0,0,1.0,0,1,12,0,0,33.2,2.5,1,1
115,0,1.0,0.01,0.36,6.0,10.0,46.0,5,0,0.5,2,58.91,0.0,1,1.0,0,1,122,0,0,54.4,4.1,1,3
116,0,0.0,0.0,0.0,5.0,5.0,69.0,5,0,0.0,1,0.0,0.0,0,1.0,0,0,79,1,0,49.3,5.5,1,4
117,1,0.0,0.0,0.0,2.0,9.0,35.0,2,1,0.36,1,0.0,0.0,0,1.0,1,0,36,1,0,25.1,10.9,1,2
118,1,1.0,0.09,0.22,5.0,6.0,33.0,4,1,0.45,3,32.27,0.0,0,1.0,0,1,122,0,0,14.4,5.5,2,1
119,0,0.0,0.0,0.0,8.0,1.0,57.0,1,0,0.19,2,0.0,0.0,1,1.0,1,0,50,0,0,31.8,8.7,1,4
120,1,1.0,0.2,0.28,1.0,7.0,41.0,3,1,0.5,2,34.99,1.0,1,1.0,0,1,0,0,0,16.9,12.8,2,1
121,0,0.0,0.0,0.0,7.0,1.0,63.0,5,0,0.0,2,0.0,0.0,1,1.0,0,0,77,0,1,37.8,3.7,2,4
122,1,1.0,0.2,0.51,1.0,8.0,34.0,4,1,0.06,2,52.21,1.0,1,1.0,0,1,0,0,0,30.2,9.9,1,1
123,0,0.0,0.0,0.0,4.0,3.0,31.0,2,0,0.28,1,0.0,0.0,0,1.0,0,0,44,1,0,58.5,4.7,1,4
124,0,0.0,0.0,0.0,7.0,3.0,56.0,3,0,0.0,1,0.0,0.0,0,1.0,1,0,115,0,0,41.4,9.4,1,4
125,0,0.0,0.0,0.0,2.0,4.0,54.0,5,0,0.0,1,0.0,0.0,0,1.0,1,0,0,0,0,47.6,3.2,1,4
126,1,1.0,0.58,0.6,3.0,6.0,23.0,3,1,0.49,1,9.17,1.0,0,1.0,0,1,0,0,0,7.0,9.3,2,1
127,0,1.0,0.05,0.85,5.0,1.0,55.0,1,0,0.6,1,30.6,0.0,1,1.0,0,1,123,0,0,58.9,17.3,1,3
128,0,0.0,0.0,0.0,2.0,2.0,34.0,4,0,0.0,1,0.0,0.0,1,1.0,0,0,0,0,0,46.6,15.0,2,4
129,1,1.0,0.17,0.58,8.0,8.0,55.0,4,0,0.07,1,9.83,0.0,0,1.0,0,1,0,0,0,18.4,17.7,1,1
130,0,0.0,0.0,0.0,4.0,2.0,65.0,5,0,0.27,1,0.0,0.0,1,1.0,1,0,0,1,0,50.6,5.1,2,4
131,0,0.0,0.0,0.0,1.0,3.0,48.0,5,0,0.0,1,0.0,0.0,0,1.0,1,0,95,0,0,41.6,8.3,1,4
132,0,0.0,0.0,0.0,8.0,10.0,59.0,2,0,0.0,1,0.0,0.0,0,1.0,0,0,91,0,0,39.5,14.1,1,4
133,1,1.0,0.11,0.21,2.0,5.0,24.0,3,0,0.29,1,7.44,0.0,1,3.0,0,1,86,0,0,9.6,6.1,3,1
134,0,0.0,0.0,0.0,8.0,4.0,66.0,1,0,0.14,1,0.0,0.0,1,1.0,1,0,0,1,0,69.5,2.4,1,4
135,1,1.0,0.03,0.33,7.0,10.0,47.0,3,0,0.43,5,32.52,0.0,0,2.0,0,1,4,0,0,14.9,5.6,2,1
136,1,0.0,0.0,0.0,8.0,9.0,49.0,2,0,0.16,1,0.0,1.0,1,1.0,1,0,0,0,0,10.8,12.0,1,2
137,0,1.0,0.12,0.83,9.0,1.0,38.0,1,0,0.05,1,50.23,0.0,0,1.0,0,1,85,0,0,57.1,13.0,1,3
138,0,0.0,0.0,0.0,7.0,4.0,67.0,3,0,0.0,1,0.0,0.0,1,1.0,1,0,31,0,0,43.2,16.5,2,4
139,0,0.0,0.0,0.0,7.0,0.0,60.0,3,0,0.0,1,0.0,1.0,0,1.0,0,0,0,0,0,51.3,16.2,2,4
140,1,0.0,0.0,0.0,4.0,6.0,38.0,2,1,0.44,1,0.0,1.0,0,1.0,1,0,0,1,0,17.7,0.3,2,2
141,0,1.0,0.07,0.37,6.0,7.0,62.0,1,0,0.32,1,36.82,1.0,0,1.0,0,1,0,0,0,43.4,17.7,1,3
142,1,1.0,0.37,0.14,1.0,9.0,24.0,4,0,0.17,1,28.23,0.0,1,1.0,1,1,0,0,0,33.9,12.1,1,1
143,1,1.0,0.06,0.6,7.0,1.0,65.0,2,0,0.51,1,54.95,0.0,1,1.0,1,1,0,0,0,29.7,15.9,1,1
144,1,1.0,0.2,0.79,3.0,9.0,32.0,3,1,0.32,2,25.48,1.0,1,1.0,0,1,0,0,0,41.0,11.8,2,1
145,0,1.0,0.11,0.03,1.0,1.0,59.0,5,0,0.07,2,27.86,1.0,0,1.0,0,1,0,1,0,58.6,8.4,2,3
146,1,0.0,0.0,0.0,2.0,8.0,59.0,3,1,0.2,1,0.0,1.0,0,1.0,0,0,38,0,0,26.9,9.6,1,2
147,0,1.0,0.06,0.17,1.0,1.0,54.0,2,0,0.63,1,12.12,0.0,0,1.0,1,1,0,0,0,25.9,2.4,2,3
148,1,1.0,0.21,0.5,2.0,7.0,39.0,4,1,0.25,2,16.9,1.0,1,1.0,1,1,0,0,0,8.5,11.0,2,1
149,0,0.0,0.0,0.0,4.0,2.0,43.0,3,1,0.0,2,0.0,0.0,0,1.0,1,0,0,0,0,40.7,0.8,1,4
150,1,0.0,0.0,0.0,9.0,1.0,67.0,3,1,0.49,1,0.0,1.0,0,1.0,1,0,0,1,0,11.5,0.5,1,2
151,0,0.0,0.0,0.0,4.0,4.0,66.0,3,0,0.0,1,0.0,1.0,1,1.0,0,0,0,0,0,46.5,7.0,1,4
152,0,0.0,0.0,0.0,7.0,0.0,63.0,2,0,0.16,2,0.0,0.0,0,1.0,0,0,3,0,0,63.7,17.0,1,4
153,1,1.0,0.63,0.79,6.0,7.0,23.0,3,0,0.54,2,2.62,1.0,0,1.0,0,1,124,0,0,9.4,14.1,1,1
154,0,0.0,0.0,0.0,8.0,4.0,64.0,4,0,0.0,2,0.0,1.0,0,1.0,1,0,0,0,0,68.5,0.1,2,4
155,0,1.0,0.07,0.48,3.0,4.0,44.0,5,0,0.61,2,55.94,0.0,0,1.0,0,1,0,0,0,44.9,11.4,2,3
156,0,1.0,0.08,0.4,9.0,0.0,38.0,4,0,0.48,1,0.14,0.0,0,1.0,0,1,27,0,0,47.6,16.0,2,3
157,1,1.0,0.39,0.7,4.0,8.0,41.0,5,1,0.36,3,11.82,1.0,1,1.0,1,1,0,0,0,6.3,7.5,1,1
158,0,1.0,0.11,0.87,8.0,2.0,48.0,1,0,0.35,1,47.22,0.0,0,1.0,0,1,0,1,0,62.9,9.8,2,3
159,1,0.0,0.0,0.0,7.0,6.0,53.0,2,0,0.24,2,0.0,1.0,0,1.0,1,0,53,0,0,19.4,18.3,1,2
160,0,1.0,0.15,0.1,2.0,4.0,62.0,2,0,0.21,2,45.25,1.0,1,1.0,0,1,96,0,0,39.6,3.0,1,3
161,1,0.0,0.0,0.0,7.0,2.0,63.0,2,0,0.16,1,0.0,0.0,0,1.0,0,0,0,1,0,26.5,14.4,1,2
162,0,1.0,0.1,0.37,6.0,5.0,48.0,2,0,0.25,1,17.83,1.0,0,1.0,0,1,0,0,1,45.9,16.6,1,3
163,0,1.0,0.06,0.27,5.0,4.0,26.0,2,0,0.63,1,10.53,1.0,1,1.0,0,1,0,1,0,43.7,3.9,1,3
164,0,1.0,0.05,0.3,7.0,1.0,48.0,1,1,0.61,2,39.52,1.0,0,1.0,0,1,79,1,0,58.3,7.3,1,3
165,0,0.0,0.0,0.0,8.0,1.0,67.0,1,0,0.0,2,0.0,1.0,1,1.0,0,0,0,0,0,65.8,9.5,2,4
166,1,1.0,0.1,0.15,3.0,10.0,33.0,4,0,0.18,1,55.18,0.0,1,1.0,0,1,18,0,0,11.9,3.0,1,1
167,0,0.0,0.0,0.0,8.0,1.0,52.0,3,0,0.0,1,0.0,1.0,0,1.0,1,0,114,0,0,33.9,3.9,2,4
168,0,0.0,0.0,0.0,2.0,1.0,37.0,5,0,0.4,2,0.0,0.0,0,1.0,1,0,0,0,0,64.9,16.4,1,4
169,0,0.0,0.0,0.0,2.0,6.0,23.0,2,0,0.01,2,0.0,0.0,0,1.0,0,0,0,0,0,31.4,5.8,2,4
170,1,1.0,0.13,0.32,1.0,8.0,48.0,4,1,0.08,1,57.12,1.0,0,1.0,0,1,0,0,0,8.8,11.4,2,1
171,1,1.0,0.22,0.61,2.0,7.0,53.0,2,0,0.42,1,3.44,0.0,0,1.0,0,1,0,1,0,4.4,9.2,2,1
172,0,1.0,0.15,0.15,3.0,9.0,45.0,5,0,0.42,1,2.71,0.0,0,1.0,0,1,0,0,0,48.3,2.8,2,3
173,0,1.0,0.02,0.78,6.0,10.0,25.0,2,0,0.41,2,2.25,0.0,1,1.0,0,1,114,1,0,51.3,14.4,2,3
174,0,0.0,0.0,0.0,5.0,4.0,32.0,4,0,0.39,1,0.0,0.0,0,1.0,1,0,0,0,0,58.2,13.1,1,4
175,1,1.0,0.1,0.32,3.0,9.0,23.0,4,1,0.65,1,51.09,0.0,1,1.0,1,1,0,0,0,18.0,4.8,2,1
176,0,1.0,0.11,0.33,2.0,9.0,23.0,2,0,0.64,2,37.06,0.0,0,1.0,0,1,0,0,0,28.5,1.9,1,3
177,0,0.0,0.0,0.0,8.0,3.0,50.0,1,0,0.1,2,0.0,1.0,0,1.0,1,0,0,1,0,78.2,6.3,2,4
178,1,1.0,0.6,0.59,3.0,8.0,63.0,3,0,0.65,2,51.95,1.0,0,1.0,0,1,59,0,0,14.1,4.2,1,1
179,1,0.0,0.0,0.0,5.0,9.0,64.0,3,0,0.35,2,0.0,1.0,0,1.0,1,0,0,0,0,35.0,1.1,2,2
180,0,1.0,0.13,0.07,2.0,0.0,40.0,1,0,0.36,2,30.77,0.0,0,1.0,0,1,0,0,0,78.8,3.4,1,3
181,1,1.0,0.38,0.4,1.0,8.0,28.0,4,0,0.22,2,46.45,1.0,0,1.0,0,1,96,0,0,9.9,17.7,1,1
182,0,0.0,0.0,0.0,5.0,5.0,40.0,3,0,0.12,2,0.0,0.0,0,1.0,0,0,123,1,0,38.2,15.9,2,4
183,0,1.0,0.1,0.93,6.0,0.0,44.0,1,0,0.19,1,0.5,1.0,0,1.0,0,1,62,1,0,42.1,0.5,1,3
184,0,0.0,0.0,0.0,7.0,1.0,49.0,4,0,0.0,2,0.0,1.0,0,1.0,1,0,85,0,0,32.1,12.1,2,4
185,0,0.0,0.0,0.0,1.0,1.0,70.0,4,1,0.27,2,0.0,1.0,1,1.0,1,0,0,0,0,38.9,4.8,1,4
